Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,year
06/28/2017,Completed,08/04/2017,17-04286442,Abandoned Vehicle Complaint,J110700,Jeep - Year Greater 1988,Green,Place 7 Day Sticker,Inspected and 7 day sticker applied to vehicle,30,429 W BRIAR PL,60657,1172821.65771049,1921033.11196862,44,19,6,8,41.93863504509,-87.64065519362,"(-87.64065519362092, 41.93863504508692)",2017
01/14/2017,Completed,02/01/2017,17-00245478,Abandoned Vehicle Complaint,Z965829,Toyota,Gray,FVI - Outcome,Vehicle was moved from original address requested,10,588 W HAWTHORNE PL,60657,1171550.73142838,1923013.1804266,44,19,6,8,41.94433687342,-87.64480119407,"(-87.64480119407119, 41.94433687342444)",2017
07/09/2017,Completed - Dup,07/11/2017,17-04510822,Abandoned Vehicle Complaint,NA,NA,NA,NA,NA,NA,2827 N BURLING ST,60657,1170812.89992733,1919012.81240324,44,19,6,8,41.93354139397,-87.64754805801,"(-87.64754805801064, 41.9335413939703)",2017
07/05/2017,Completed,07/21/2017,17-04434387,Abandoned Vehicle Complaint,BXG7689,Mitsubishi,Black,FVI - Outcome,Vehicle was moved from original address requested,30,2837 N BURLING ST,60657,1170810.49992733,1919081.01240324,44,19,6,8,41.93381031429,-87.64755781133,"(-87.64755781132841, 41.933810314293254)",2017
04/06/2017,Completed,04/28/2017,17-01997829,Abandoned Vehicle Complaint,N150092,Honda,Blue,Place 7 Day Sticker,Inspected and 7 day sticker applied to vehicle,21,611 W OAKDALE AVE,60657,1171654.80033385,1919868.92999588,44,19,6,8,41.93546712474,-87.64476651986,"(-87.64476651986399, 41.93546712473914)",2017
11/16/2017,Completed - Dup,11/17/2017,17-07752734,Abandoned Vehicle Complaint,DCF5528,Jeep/Cherokee,White,FVI - Outcome,Create Work Order,10,3740 N PINE GROVE AVE,60613,1170912.27599515,1925303.05526712,46,19,6,8,41.95080659519,-87.64745894192,"(-87.64745894192384, 41.950806595188915)",2017
08/06/2017,Completed,09/08/2017,17-05219108,Abandoned Vehicle Complaint,RAW102,Lexus,Silver,FVI - Outcome,Vehicle was moved from original address requested,5,2849 N BROADWAY,60657,1171731.27596878,1919354.27481,44,19,6,8,41.93408681537,-87.64419935325,"(-87.64419935325256, 41.934086815373654)",2017
07/17/2017,Completed,08/22/2017,17-04712298,Abandoned Vehicle Complaint,Y426330,Toyota,Silver,Place 7 Day Sticker,Inspected and 7 day sticker applied to vehicle,20,550 W ROSCOE ST,60657,1172308.09816791,1922706.14576839,44,19,6,8,41.94344164183,-87.6439283196,"(-87.64392831960247, 41.94344164182591)",2017
07/20/2017,Completed,08/04/2017,17-04798236,Abandoned Vehicle Complaint,322LQP,Ford,Gray,FVI - Outcome,Return to Owner - Vehicle,20,451 W MELROSE ST,60657,1172491.441025,1921914.942725,44,19,6,8,41.94106861528,-87.64149839394,"(-87.64149839394454, 41.94106861527624)",2017
01/31/2017,Completed - Dup,02/01/2017,17-00574315,Abandoned Vehicle Complaint,X318847,Acura,Gold,FVI - Outcome,Create Work Order,30,701 W BROMPTON AVE,60657,1171002.67000341,1923878.93003318,46,19,6,8,41.94645950996,-87.64687364239,"(-87.64687364239323, 41.94645950995542)",2017
